instrumentId,optionName,indexName,expiryInWords,optionType,optionStrikePrice,expiryInDate
828592,SENSEX 22JUL2025 PE 80100,SENSEX,22JUL2025,PE,80100,2025-07-22T00:00:00
1101042,BANKEX 24JUN2025 PE 59300,BANKEX,24JUN2025,PE,59300,2025-06-24T00:00:00
827014,SENSEX 15JUL2025 CE 82800,SENSEX,15JUL2025,CE,82800,2025-07-15T00:00:00
822293,SENSEX 01JUL2025 PE 86800,SENSEX,01JUL2025,PE,86800,2025-07-01T00:00:00
826484,SENSEX 26AUG2025 PE 76700,SENSEX,26AUG2025,PE,76700,2025-08-26T00:00:00
1142543,BANKEX 29JUL2025 PE 54100,BANKEX,29JUL2025,PE,54100,2025-07-29T00:00:00
827215,SENSEX 15JUL2025 PE 78800,SENSEX,15JUL2025,PE,78800,2025-07-15T00:00:00
824761,SENSEX 08JUL2025 CE 75700,SENSEX,08JUL2025,CE,75700,2025-07-08T00:00:00
843050,SENSEX 26DEC2028 PE 81000,SENSEX,26DEC2028,PE,81000,2028-12-26T00:00:00
1106167,BANKEX 24JUN2025 PE 53300,BANKEX,24JUN2025,PE,53300,2025-06-24T00:00:00
827355,SENSEX 15JUL2025 PE 80000,SENSEX,15JUL2025,PE,80000,2025-07-15T00:00:00
824692,SENSEX 08JUL2025 CE 76600,SENSEX,08JUL2025,CE,76600,2025-07-08T00:00:00
828726,SENSEX 22JUL2025 PE 79300,SENSEX,22JUL2025,PE,79300,2025-07-22T00:00:00
1101414,BANKEX 24JUN2025 CE 55300,BANKEX,24JUN2025,CE,55300,2025-06-24T00:00:00
1175655,BANKEX 29JUL2025 CE 53700,BANKEX,29JUL2025,CE,53700,2025-07-29T00:00:00
826512,BANKEX 26AUG2025 CE 70300,BANKEX,26AUG2025,CE,70300,2025-08-26T00:00:00
826533,SENSEX 26AUG2025 PE 77700,SENSEX,26AUG2025,PE,77700,2025-08-26T00:00:00
1101075,BANKEX 24JUN2025 CE 61800,BANKEX,24JUN2025,CE,61800,2025-06-24T00:00:00
828737,SENSEX 22JUL2025 PE 87900,SENSEX,22JUL2025,PE,87900,2025-07-22T00:00:00
828756,SENSEX 22JUL2025 PE 77200,SENSEX,22JUL2025,PE,77200,2025-07-22T00:00:00
826565,SENSEX 15JUL2025 CE 77500,SENSEX,15JUL2025,CE,77500,2025-07-15T00:00:00
856344,SENSEX 28DEC2027 PE 71000,SENSEX,28DEC2027,PE,71000,2027-12-28T00:00:00
824992,SENSEX 08JUL2025 PE 85300,SENSEX,08JUL2025,PE,85300,2025-07-08T00:00:00
827074,SENSEX 15JUL2025 CE 86700,SENSEX,15JUL2025,CE,86700,2025-07-15T00:00:00
824902,SENSEX 08JUL2025 PE 75400,SENSEX,08JUL2025,PE,75400,2025-07-08T00:00:00
828498,SENSEX 22JUL2025 CE 81600,SENSEX,22JUL2025,CE,81600,2025-07-22T00:00:00
1101135,BANKEX 24JUN2025 PE 62000,BANKEX,24JUN2025,PE,62000,2025-06-24T00:00:00
840377,SENSEX 05AUG2025 CE 86200,SENSEX,05AUG2025,CE,86200,2025-08-05T00:00:00
827448,SENSEX 15JUL2025 CE 81800,SENSEX,15JUL2025,CE,81800,2025-07-15T00:00:00
823098,SENSEX 26JUN2029 PE 88000,SENSEX,26JUN2029,PE,88000,2029-06-26T00:00:00
